hicolor-icon-theme 0.17-2
hidapi 0.11.0-1
hiredis 1.0.2-1
hitori 3.38.3-1
hplip 1:3.21.10-1
hspell 1.4-4
htop 3.1.2-1
http-parser 2.9.4-1
hugo 0.89.4-1
hunspell 1.7.0-3
hunspell-en_us 2020.12.07-4
hwids 20210613-1
hwloc 2.5.0-1
hyphen 2.8.8-3
i3-gaps 4.20.1-1
i3keys 0.0.14-1
i3lock 2.13-1
i3status-rust 0.20.7-1
iagno 3.38.1-1
iana-etc 20211025-1
ibus 1.5.25-3
icu 70.1-1
iftop 1.0pre4-4
iio-sensor-proxy 3.1-1
ijs 0.35-3
imagemagick 7.1.0.17-1
imath 3.1.3-1
imlib2 1.7.4-1
inetutils 2.2-1
inkscape 1.1.1-3
intel-compute-runtime 21.48.21782-1
intel-gmmlib 21.3.3-1
intel-gpu-tools 1.26-1
intel-graphics-compiler 1:1.0.9441-1
intel-media-driver 21.4.3-1
intel-media-sdk 21.3.2-1
intel-opencl-clang 13.0.0-1
intel-ucode 20210608-1
intel-ucode-clear 35370-1
intltool 0.51.0-6
iotop 0.6-8
iozone 3.490-2
iperf 2.0.13-2
iperf3 3.10.1-1
ipp-usb 0.9.19-1
iproute2 5.15.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipython 7.30.0-1
iso-codes 4.8.0-1
itstool 1:2.0.7-1
iw 5.16-1
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jbigkit 2.1-5
jdk-openjdk 17.0.1.u12-1
jdk11-openjdk 11.0.13.u8-1
jdk8-openjdk 8.u292-1
jemalloc 1:5.2.1-5
jfsutils 1.1.15-7
joplin 2.4.12-1
joplin-desktop 2.4.12-1
jp2a 1.1.1-1
jq 1.6-4
jre-openjdk 17.0.1.u12-1
jre-openjdk-headless 17.0.1.u12-1
jre11-openjdk 11.0.13.u8-1
jre11-openjdk-headless 11.0.13.u8-1
jre8-openjdk 8.u292-1
jre8-openjdk-headless 8.u292-1
js78 78.15.0-1
json-c 0.15-2
json-glib 1.6.6-1
jsoncpp 1.9.4-1
jsonrpc-glib 3.40.0-1
kanshi 1.2.0-1
karchive 5.88.0-1
kauth 5.88.0-1
kbd 2.4.0-2
kbfs 5.8.1-1
kbookmarks 5.88.0-1
kcmutils 5.88.0-1
kcodecs 5.88.0-1
kcompletion 5.88.0-1
kconfig 5.88.0-1
kconfigwidgets 5.88.0-1
kcontacts 1:5.88.0-1
kcoreaddons 5.88.0-1
kcrash 5.88.0-1
kdbusaddons 5.88.0-1
kdeclarative 5.88.0-1
kdeconnect 21.08.3-1
kded 5.88.0-1
keepassxc 2.6.6-1
keybase 5.8.1-1
keybase-gui 5.8.1-1
keyutils 1.6.3-1
kfloppy 21.08.3-1
kglobalaccel 5.88.0-1
kguiaddons 5.88.0-1
ki18n 5.88.0-1
kiconthemes 5.88.0-1
kio 5.88.0-1
kirigami2 5.88.0-1
kitemviews 5.88.0-1
kitty 0.23.1-1
kitty-terminfo 0.23.1-1
kjobwidgets 5.88.0-1
kmod 29-1
knotifications 5.88.0-1
kompose-bin 1.24.0-1
kpackage 5.88.0-1
kpeople 5.88.0-1
kpeoplevcard 0.1-1
krb5 1.19.2-2
kservice 5.88.0-1
ktextwidgets 5.88.0-1
kubeadm 1.22.4-1
kubectl 1.22.4-1
kvantum-qt5 0.20.2-2
kwallet 5.88.0-1
kwayland 5.88.0-1
kwidgetsaddons 5.88.0-1
kwindowsystem 5.88.0-1
kxmlgui 5.88.0-1
l-smash 2.14.5-2
ladspa 1.17-1
lame 3.100-3
languagetool 5.5-2
lapack 3.10.0-1
lastpass-cli 1.3.3-2
